Symbol,Events,PRAUC_XGB,PRAUC_LL
ZEC,918,0.454,0.3215
ICP,240,0.3316,0.1731
OKB,270,0.3132,0.1453
XLM,258,0.3078,0.1081
XMR,486,0.2815,0.1541
CRO,282,0.2418,0.1293
ETC,192,0.1579,0.0892
NEAR,162,0.1524,0.0644
AVAX,138,0.1421,0.0581
UNI,234,0.1388,0.0682
LTC,198,0.119,0.0701
LINK,198,0.1026,0.0551
TON,90,0.1001,0.0506
DOT,198,0.0902,0.062
HBAR,96,0.0816,0.0332
TAO,60,0.0635,0.0295
AAVE,126,0.0435,0.0329
SHIB,42,0.0402,0.0144
